p,q,b,CVaR,CVaR.se
0.01,-0.140279775813065,0,-0.017537304605971627,0.07668805075384542
0.01,-0.173181008649417,0.05,0.09689955430152554,0.09341270195997871
0.01,-0.223181008649417,0.1,0.14679522086747124,0.09272149889174881
0.01,-0.273181008649417,0.15000000000000002,0.19669088743341687,0.09232055887029166
0.01,-0.323181008649417,0.2,0.24658655399936252,0.09221366811723215
0.01,-0.373181008649417,0.25,0.2964822205653082,0.09240184710961538
0.02,-0.123176223229797,0,-0.04770304305919451,0.04755762771926755
0.02,-0.153714930390516,0.05,0.028390428703653596,0.07883550102805506
0.02,-0.203589102951661,0.1,0.07439340572373147,0.0786472317787026
0.02,-0.25358910295166104,0.15000000000000002,0.1244065598774582,0.07841898107769418
0.02,-0.303589102951661,0.2,0.17441971403118484,0.07835916433240835
0.02,-0.353589102951661,0.25,0.2244328681849115,0.07846816673837759
0.03,-0.11270478824176,0,-0.07828194267253721,0.040993570910111035
0.03,-0.1391711333782194,0.05,-0.02973409801766785,0.05952780184299596
0.03,-0.1890683384848242,0.1,0.03419236088574788,0.060179982994447656
0.03,-0.23906833848482423,0.15000000000000002,0.08426610759878184,0.059992743305025915
0.03,-0.2890683384848242,0.2,0.13433985431181575,0.059947028605459154
0.03,-0.3390683384848242,0.25,0.18441360102484963,0.06004316215269668
0.04,-0.103589102951661,0,-0.0707159378442905,0.03983228789885399
0.04,-0.1294770018374461,0.05,-0.024159270502135767,0.049768664525313394
0.04,-0.1790854536485112,0.1,0.03499387037052212,0.05059369416938448
0.04,-0.22908545364851124,0.15000000000000002,0.0849787107013175,0.05048121654443783
0.04,-0.27908545364851123,0.2,0.13496355103211286,0.050494177298935496
0.04,-0.3290854536485112,0.25,0.1849483913629082,0.0506324801049182
0.05,-0.0953757044243767,0,-0.09133510731663505,0.03391337832104044
0.05,-0.12100174294967199,0.05,-0.04369208881842813,0.044217642478784576
0.05,-0.1702863691417594,0.1,0.010769620168281506,0.044117271044361875
0.05,-0.22028636914175942,0.15000000000000002,0.060760064084985826,0.044021581183356646
0.05,-0.2702863691417594,0.2,0.1107505080016901,0.044034848201242587
0.05,-0.3202863691417594,0.25,0.1607409519183944,0.044156973889438386
0.060000000000000005,-0.0890683384848242,0,-0.08361667058917117,0.03064445044675139
0.060000000000000005,-0.113923271865136,0.05,-0.03922523320347815,0.03976176656329174
0.060000000000000005,-0.16314336041427852,0.1,0.025192987049213203,0.040318842226678156
0.060000000000000005,-0.2131433604142785,0.15000000000000002,0.07518917367802501,0.040247825397217815
0.060000000000000005,-0.2631433604142785,0.2,0.12518536030683683,0.04027317434237118
0.060000000000000005,-0.3131433604142785,0.25,0.1751815469356486,0.040394707644913645
