CVaR,CVaR.se,p,q,b,Type
-0.0908797195497147,0.07668805075384544,0.01,-0.140279775813065,NA,CATE-CVaR
-0.08721614408963956,0.04755762771926757,0.02,-0.123176223229797,NA,CATE-CVaR
-0.08628564798690182,0.04099357091011103,0.03,-0.11270478824176,NA,CATE-CVaR
-0.08586568590008645,0.03983228789885399,0.04,-0.103589102951661,NA,CATE-CVaR
-0.08548911766081917,0.03391337832104044,0.05,-0.0953757044243767,NA,CATE-CVaR
-0.08467788605228561,0.03064445044675139,0.060000000000000005,-0.0890683384848242,NA,CATE-CVaR
-0.0837309232192621,0.027275922351381657,0.06999999999999999,-0.0839897716485562,NA,CATE-CVaR
-0.08263454170966655,0.02584052390034438,0.08,-0.0790581636306294,NA,CATE-CVaR
-0.08180215339024312,0.024246989169277377,0.09,-0.0743906068022217,NA,CATE-CVaR
-0.08096844331418977,0.022646197885579217,0.09999999999999999,-0.0702656979410522,NA,CATE-CVaR
-0.08013461059208116,0.021716725526845934,0.11,-0.0665376673147263,NA,CATE-CVaR
-0.07900156483409844,0.02071831992946776,0.12,-0.0631406628603895,NA,CATE-CVaR
-0.07825253263800622,0.01984777047407543,0.13,-0.0599636870275124,NA,CATE-CVaR
-0.07678511577860424,0.018884466507346154,0.14,-0.0566527754317791,NA,CATE-CVaR
-0.074669438791409,0.018421036057560968,0.15000000000000002,-0.0538785006857505,NA,CATE-CVaR
-0.07190853819840609,0.017957960432374204,0.16,-0.0508357060737593,NA,CATE-CVaR
-0.06578809322777963,0.017639489818841284,0.17,-0.0482148083515651,NA,CATE-CVaR
-0.05955816403862228,0.017262132759947563,0.18000000000000002,-0.0454505850968017,NA,CATE-CVaR
-0.05482498619231382,0.017179334982043732,0.19,-0.0428421492424163,NA,CATE-CVaR
-0.05350247979355415,0.016775888676279355,0.2,-0.0402001331491328,NA,CATE-CVaR
-0.05284860976788817,0.01634408853346508,0.21000000000000002,-0.0380874806292548,NA,CATE-CVaR
-0.0517111606042963,0.016138877454045356,0.22,-0.0358827021197662,NA,CATE-CVaR
-0.050603173521604476,0.01567005850528565,0.23,-0.0336945927209756,NA,CATE-CVaR
-0.049790879634297625,0.015374005077062667,0.24000000000000002,-0.0317258305957437,NA,CATE-CVaR
-0.0489923854739889,0.015004471065426295,0.25,-0.0295135119675147,NA,CATE-CVaR
-0.0483713006533598,0.014583096776876173,0.26,-0.0273525482908853,NA,CATE-CVaR
-0.047723702247819896,0.014236911418331203,0.27,-0.0253098139039792,NA,CATE-CVaR
-0.047265426043471274,0.013976378111179244,0.28,-0.0232218430110766,NA,CATE-CVaR
