p,q,rho,CVaR,CVaR.se
0.26,-0.4416613267555755,-1,-1.400971819348674,0.006677130037364782
0.26,-0.3815971944671458,-0.5,-1.2126531592356076,0.005846312157157484
0.26,-0.31057674573814753,0,-0.9896215907023135,0.004905408964546403
0.26,-0.2187684890146142,0.5,-0.7000725608695334,0.0038791343387046613
0.26,-0.10048397952025148,0.9,-0.32068916096880157,0.004250729544700714
0.26,-0.07455826410043204,0.95,-0.23536151824104,0.0053182906130887315
0.26,-0.02735638212554256,1,-0.07651488902847343,0.014702010262317591
0.27,-0.41733611594858727,-1,-1.3650549753079957,0.006507559842385192
0.27,-0.36050845045453567,-0.5,-1.1815551458055935,0.005699611352942206
0.27,-0.29330862018267934,0,-0.9642392366643543,0.004786578319189325
0.27,-0.20646590688151711,0.5,-0.6821372948371889,0.0037990626248961424
0.27,-0.09461601037051175,0.9,-0.31265330675230324,0.0042083706001465266
0.27,-0.07012466558269677,0.95,-0.22959524670217715,0.005259727374241696
0.27,-0.025329569849793954,1,-0.07633978931453209,0.014349833344007744
0.28,-0.3938377641859995,-1,-1.3308506640493445,0.006345950269138676
0.28,-0.3401355818529592,-0.5,-1.1519388916948017,0.005559744891555066
0.28,-0.2766347264490513,0,-0.9400645832172208,0.004673134729358093
0.28,-0.19459380385406821,0.5,-0.6650515434964708,0.0037221313982473544
0.28,-0.08892295797584282,0.9,-0.30498234066247887,0.004165073647759891
0.28,-0.06578477407746508,0.95,-0.22407875808513483,0.0052009300438900724
0.28,-0.023242455419406907,1,-0.07712708783534865,0.01408802311438252
0.29000000000000004,-0.37113495922461237,-1,-1.2982094871492271,0.006191487581911323
0.29000000000000004,-0.32047207287814927,-0.5,-1.1236750013454366,0.0054259351175270035
0.29000000000000004,-0.26053098432426974,0,-0.9169920588390534,0.004564486041062689
0.29000000000000004,-0.1831078751856295,0.5,-0.6487409425504677,0.003648052846149539
0.29000000000000004,-0.08342563408615852,0.9,-0.29764284008632275,0.004120565052314575
0.29000000000000004,-0.061545933967583476,0.95,-0.21878952213932462,0.00514162387606704
0.29000000000000004,-0.021073596917344062,1,-0.07833873473214924,0.013850656671258553
0.3,-0.34912500468370855,-1,-1.2669995184505776,0.006043649587546687
0.3,-0.30136303261294783,-0.5,-1.096649417219049,0.005297933606721232
0.3,-0.24489639881030098,0,-0.8949286276292795,0.004460390038069776
0.3,-0.17193941713431302,0.5,-0.6331399840537799,0.003576702494419256
0.3,-0.07801768017980756,0.9,-0.29060930161005755,0.004075846011300548
0.3,-0.057390336157272494,0.95,-0.2137089631428492,0.005081970435501392
0.3,-0.01914513704658158,1,-0.08083494865517211,0.013522138968186641
0.31,-0.32774501788785115,-1,-1.2371036134326783,0.0059018967142085155
0.31,-0.2828259946526062,-0.5,-1.0707605915467069,0.005175066669840445
0.31,-0.22970620947270698,0,-0.8737914965582863,0.004360400939871956
0.31,-0.16109771840479284,0.5,-0.6181900364673986,0.0035076499998826756
0.31,-0.07277998142544896,0.9,-0.2838535761662029,0.0040300834359059245
0.31,-0.05334611555477682,0.95,-0.20881853341508244,0.00502153968818809
0.31,-0.017200283815456532,1,-0.07927837584848897,0.013318784561233126
0.32,-0.3069282750963592,-1,-1.20841736848171,0.005765772856002037
0.32,-0.2647622664326458,-0.5,-1.0459182324805565,0.005057059674651133
0.32,-0.21491982985783153,0,-0.8535069280664953,0.004264187264918099
0.32,-0.15055995988437385,0.5,-0.6038390661623112,0.003440670523581459
0.32,-0.06761423408916403,0.9,-0.277355872526763,0.0039840624739427045
0.32,-0.04937699016731628,0.95,-0.20410467348648914,0.004960776955273874
0.32,-0.015291923832213762,1,-0.07597135909033535,0.013111383382032648
0.33,-0.2866508068362539,-1,-1.1808473067388838,0.005634783905671623
0.33,-0.24718036260610712,-0.5,-1.0220413522207341,0.004943400310742037
