CVaR,CVaR.se,p,q,rho,type,Type,Correlation
-0.021984175679771657,0.006663022662403426,0.7000000000000001,0.0482153565313621,NA,CATE-CVaR,CATE-CVaR,NA
-0.021870462345719197,0.00655889133509338,0.7100000000000001,0.0500282929707532,NA,CATE-CVaR,CATE-CVaR,NA
-0.021687465662281146,0.006407690698134363,0.72,0.0517462769323315,NA,CATE-CVaR,CATE-CVaR,NA
-0.021379083748651585,0.0062953277039093855,0.73,0.0535356330519602,NA,CATE-CVaR,CATE-CVaR,NA
-0.020934240924894293,0.0061675778660793285,0.74,0.0555641162794511,NA,CATE-CVaR,CATE-CVaR,NA
-0.020520893460831018,0.006067728186841491,0.75,0.0572622331679653,NA,CATE-CVaR,CATE-CVaR,NA
-0.020105343350751474,0.005939693316891306,0.76,0.0593252275017543,NA,CATE-CVaR,CATE-CVaR,NA
-0.018759766571698804,0.005765662145217828,0.77,0.0613502806077543,NA,CATE-CVaR,CATE-CVaR,NA
-0.018642388166681075,0.005654943809280824,0.78,0.0630490827385418,NA,CATE-CVaR,CATE-CVaR,NA
-0.01799475439565787,0.005480397898738142,0.79,0.0650686766716521,NA,CATE-CVaR,CATE-CVaR,NA
-0.017765401109777652,0.005304650289673398,0.8,0.0671956621563697,NA,CATE-CVaR,CATE-CVaR,NA
-0.017457408205902886,0.00513858214771039,0.81,0.0693602874923737,NA,CATE-CVaR,CATE-CVaR,NA
-0.015121258449323393,0.004964378876847523,0.8200000000000001,0.071791437378169,NA,CATE-CVaR,CATE-CVaR,NA
-0.013921021175225205,0.004850588608866805,0.8300000000000001,0.0740266985061756,NA,CATE-CVaR,CATE-CVaR,NA
-0.0132445164519908,0.004704673060114101,0.8400000000000001,0.0763480621188753,NA,CATE-CVaR,CATE-CVaR,NA
-0.013064004608878708,0.004488115566456429,0.85,0.0785693978140113,NA,CATE-CVaR,CATE-CVaR,NA
-0.012736295193927709,0.004367983454893912,0.86,0.081040078581188,NA,CATE-CVaR,CATE-CVaR,NA
-0.01217540137430141,0.004198428708748783,0.87,0.0841376517814535,NA,CATE-CVaR,CATE-CVaR,NA
-0.011784523595711346,0.004097363399684848,0.88,0.0870105872296962,NA,CATE-CVaR,CATE-CVaR,NA
-0.011370071361657075,0.003972571464337383,0.89,0.0903416025066373,NA,CATE-CVaR,CATE-CVaR,NA
-0.011149828516755783,0.0037852734649327347,0.9,0.0936862109519653,NA,CATE-CVaR,CATE-CVaR,NA
-0.011009576990775063,0.0036214660801516013,0.91,0.097780753302068,NA,CATE-CVaR,CATE-CVaR,NA
-0.010802885138394482,0.0034354565483793046,0.92,0.102465705118299,NA,CATE-CVaR,CATE-CVaR,NA
-0.008807455120110446,0.003187754906974763,0.93,0.10789282682276,NA,CATE-CVaR,CATE-CVaR,NA
-0.007518852542275799,0.002997602208949933,0.9400000000000001,0.113259868860724,NA,CATE-CVaR,CATE-CVaR,NA
-0.006249253229493777,0.00273999937814333,0.9500000000000001,0.118666122455913,NA,CATE-CVaR,CATE-CVaR,NA
-0.005498218736653662,0.002448323522110407,0.9600000000000001,0.125691397993915,NA,CATE-CVaR,CATE-CVaR,NA
-0.0030624315292442647,0.0020556036639065574,0.97,0.134475275456406,NA,CATE-CVaR,CATE-CVaR,NA
-0.001257495496314839,0.0014540676969313387,0.98,0.147178486540326,NA,CATE-CVaR,CATE-CVaR,NA
-0.0011137941262581099,9.910797746857506e-4,0.99,0.166711078547926,NA,CATE-CVaR,CATE-CVaR,NA
0,0,1,0.245391542981891,NA,CATE-CVaR,CATE-CVaR,NA
-0.6162469669296797,0.006663022662403426,0.7000000000000001,0.0482153565313621,NA,Eq. (9) bound,Eq. (9),NA
-0.6091510394335067,0.00655889133509338,0.7100000000000001,0.0500282929707532,NA,Eq. (9) bound,Eq. (9),NA
